month,new_customers,cumulative_customers
2022-04,1,1
2022-05,14,15
2022-06,67,82
2022-07,92,174
2022-08,90,264
2022-09,98,362
2022-10,109,471
2022-11,114,585
2022-12,95,680
2023-01,120,800
2023-02,103,903
2023-03,123,1026
2023-04,93,1119
2023-05,143,1262
2023-06,119,1381
2023-07,141,1522
2023-08,151,1673
2023-09,165,1838
2023-10,144,1982
2023-11,122,2104
2023-12,114,2218
2024-01,114,2332
2024-02,66,2398
2024-03,175,2573
2024-04,141,2714
2024-05,107,2821
2024-06,15,2836
2024-07,73,2909
2024-08,149,3058
2024-09,174,3232
2024-10,156,3388
2024-11,49,3437
2024-12,112,3549
2025-01,211,3760
2025-02,115,3875
2025-03,194,4069
2025-04,290,4359
2025-05,249,4608
2025-06,225,4833
